,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_neighbors,param_p,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,0.0013781547546386718,0.0019184447263500743,0.029172754287719725,0.020822853434626674,3,1,"{'n_neighbors': 3, 'p': 1}",0.8396017121728561,0.8030887589126615,0.80810156529928,0.8290716695456446,0.8322045631501415,0.8224136538161166,0.014240139534848447,5
1,0.0012951374053955078,0.0013724293952961802,0.015190696716308594,0.0064503051155967665,3,2,"{'n_neighbors': 3, 'p': 2}",0.8113706588068998,0.7792907753626197,0.7695857003647659,0.7779996254304603,0.8136949556478964,0.7903883431225284,0.01840022848136878,10
2,0.00045375823974609376,0.0002393978701710808,0.012128305435180665,0.006732072146728771,5,1,"{'n_neighbors': 5, 'p': 1}",0.8598317776653345,0.8079863899462985,0.8267632875322346,0.8258474718001261,0.8444488014560287,0.8329755456800045,0.01770170775584597,3
3,0.00015120506286621095,7.243217646306879e-06,0.002433586120605469,0.00019188648887169098,5,2,"{'n_neighbors': 5, 'p': 2}",0.8235537085700058,0.8102443137549659,0.8226919426060906,0.7970799244528848,0.8381645134457357,0.8183468805659366,0.013832311492993193,9
4,0.00021314620971679688,0.00011265584396551485,0.00587930679321289,0.0020515180166627753,7,1,"{'n_neighbors': 7, 'p': 1}",0.8619800385110163,0.8200873458024818,0.8186170363951878,0.8288276033460414,0.8607529948804112,0.8380530037870277,0.019356767782321215,1
5,0.00020494461059570313,9.013226367380451e-05,0.0031529903411865235,0.0008075779571997679,7,2,"{'n_neighbors': 7, 'p': 2}",0.8272683216097457,0.811806134681526,0.8097056464759111,0.8079528075770166,0.8357545963951137,0.8184975013478626,0.01102720530515194,7
6,0.00018558502197265624,9.141275513153174e-05,0.003889608383178711,0.0006170329096624521,9,1,"{'n_neighbors': 9, 'p': 1}",0.8549021044467588,0.8178642905267968,0.8155547682527293,0.8391605471624884,0.8516251755135641,0.8358213771804675,0.016481363107764643,2
7,0.00019140243530273436,9.534446916701695e-05,0.002637004852294922,0.00046520206272325493,9,2,"{'n_neighbors': 9, 'p': 2}",0.8258545102043504,0.808803343822713,0.8057672790069157,0.8128078618580906,0.8386436009164226,0.8183753191616985,0.012233752598476292,8
8,0.00015254020690917968,3.07297039756374e-05,0.003722476959228516,0.0005177012352445569,11,1,"{'n_neighbors': 11, 'p': 1}",0.8475757372292072,0.8191749657280971,0.8103100718569425,0.8392821049732085,0.8481509796302249,0.8328987718835361,0.015410271370247749,4
9,0.00014395713806152343,1.3513433823254451e-05,0.002138233184814453,0.0002593501741994191,11,2,"{'n_neighbors': 11, 'p': 2}",0.8347831244214601,0.8068181682367107,0.8056356982187531,0.8087429774794206,0.837250362623605,0.8186460661959899,0.014239132732756279,6
